Feature,Coefficient,Abs_Coefficient
interest_rate,-3.3296731928426757,3.3296731928426757
product_type__Credit Card,2.5122564751992504,2.5122564751992504
product_type__Line of Credit,-2.1786627688686933,2.1786627688686933
annual_income,1.4817027899887933,1.4817027899887933
current_debt,-1.3400898574795956,1.3400898574795956
loan_intent__Debt Consolidation,-1.2979282205818032,1.2979282205818032
product_type__Personal Loan,-1.174270283657544,1.174270283657544
loan_intent__Education,0.9677104617856074,0.9677104617856074
credit_score,0.7708151175694277,0.7708151175694277
loan_intent__Business,-0.7392756050432817,0.7392756050432817
loan_amount,-0.7188774378907895,0.7188774378907895
credit_history_years,0.6909416590809794,0.6909416590809794
loan_intent__Personal,0.4635179134697881,0.4635179134697881
years_employed,0.24765736211500466,0.24765736211500466
occupation_status__Student,0.2175009102632656,0.2175009102632656
loan_intent__Home Improvement,-0.1378418620759495,0.1378418620759495
loan_intent__Medical,-0.12465334326766722,0.12465334326766722
age,0.11518768608306823,0.11518768608306823
occupation_status__Employed,-0.07962109300355155,0.07962109300355155
occupation_status__Self-Employed,-0.014306831349586508,0.014306831349586508
savings_assets,0.0067557985295433245,0.0067557985295433245
